date,item_name,quantity_sold,revenue
2024-01-01,Coffee,45,225.00
2024-01-01,Cappuccino,32,192.00
2024-01-01,Latte,28,168.00
2024-01-01,Croissant,25,87.50
2024-01-02,Coffee,52,260.00
2024-01-02,Cappuccino,35,210.00
2024-01-02,Latte,30,180.00
2024-01-02,Croissant,28,98.00
2024-01-03,Coffee,48,240.00
2024-01-03,Cappuccino,30,180.00
2024-01-03,Latte,26,156.00
2024-01-03,Croissant,22,77.00
2024-01-04,Coffee,55,275.00
2024-01-04,Cappuccino,38,228.00
2024-01-04,Latte,33,198.00
2024-01-04,Croissant,30,105.00
2024-01-05,Coffee,50,250.00
2024-01-05,Cappuccino,34,204.00
2024-01-05,Latte,29,174.00
2024-01-05,Croissant,26,91.00
2024-01-06,Coffee,58,290.00
2024-01-06,Cappuccino,40,240.00
2024-01-06,Latte,35,210.00
2024-01-06,Croissant,32,112.00
2024-01-07,Coffee,47,235.00
2024-01-07,Cappuccino,31,186.00
2024-01-07,Latte,27,162.00
2024-01-07,Croissant,24,84.00 
