date,item_name,quantity_sold,revenue
2024-01-01,Coffee,45,225.00
2024-01-02,Coffee,52,260.00
2024-01-03,Coffee,48,240.00
2024-01-04,Coffee,55,275.00
2024-01-05,Coffee,50,250.00
2024-01-06,Coffee,58,290.00
2024-01-07,Coffee,47,235.00
2024-01-08,Coffee,53,265.00
2024-01-09,Coffee,49,245.00
2024-01-10,Coffee,56,280.00
2024-01-11,Coffee,51,255.00
2024-01-12,Coffee,59,295.00
2024-01-13,Coffee,46,230.00
2024-01-14,Coffee,54,270.00
2024-01-15,Coffee,50,250.00
2024-01-16,Coffee,57,285.00
2024-01-17,Coffee,52,260.00
2024-01-18,Coffee,60,300.00
2024-01-19,Coffee,48,240.00
2024-01-20,Coffee,55,275.00
2024-01-21,Coffee,51,255.00
2024-01-22,Coffee,58,290.00
2024-01-23,Coffee,49,245.00
2024-01-24,Coffee,56,280.00
2024-01-25,Coffee,53,265.00
2024-01-26,Coffee,61,305.00
2024-01-27,Coffee,47,235.00
2024-01-28,Coffee,54,270.00
2024-01-29,Coffee,50,250.00
2024-01-30,Coffee,57,285.00
2024-01-31,Coffee,52,260.00 
