date,item,quantity,revenue
2024-01-01,Coffee,45,225.00
2024-01-01,Cappuccino,32,192.00
2024-01-01,Latte,28,168.00
2024-01-01,Espresso,15,45.00
2024-01-01,Croissant,38,114.00
2024-01-01,Sandwich,25,187.50
2024-01-02,Coffee,52,260.00
2024-01-02,Cappuccino,35,210.00
2024-01-02,Latte,30,180.00
2024-01-02,Espresso,18,54.00
2024-01-02,Croissant,42,126.00
2024-01-02,Sandwich,28,210.00
2024-01-03,Coffee,48,240.00
2024-01-03,Cappuccino,38,228.00
2024-01-03,Latte,33,198.00
2024-01-03,Espresso,16,48.00
2024-01-03,Croissant,40,120.00
2024-01-03,Sandwich,26,195.00
2024-01-04,Coffee,55,275.00
2024-01-04,Cappuccino,40,240.00
2024-01-04,Latte,35,210.00
2024-01-04,Espresso,20,60.00
2024-01-04,Croissant,45,135.00
2024-01-04,Sandwich,30,225.00
2024-01-05,Coffee,58,290.00
2024-01-05,Cappuccino,42,252.00
2024-01-05,Latte,38,228.00
2024-01-05,Espresso,22,66.00
2024-01-05,Croissant,48,144.00
2024-01-05,Sandwich,32,240.00
2024-01-06,Coffee,62,310.00
2024-01-06,Cappuccino,45,270.00
2024-01-06,Latte,40,240.00
2024-01-06,Espresso,25,75.00
2024-01-06,Croissant,50,150.00
2024-01-06,Sandwich,35,262.50
2024-01-07,Coffee,65,325.00
2024-01-07,Cappuccino,48,288.00
2024-01-07,Latte,42,252.00
2024-01-07,Espresso,28,84.00
2024-01-07,Croissant,52,156.00
2024-01-07,Sandwich,38,285.00 
